task,worker,label
4-26,AI_mean_5,4
4-291,AI_mean_5,4
4-28,AI_mean_5,4
2-238,AI_mean_5,2
0-325,AI_mean_5,3
3-369,AI_mean_5,3
2-107,AI_mean_5,2
3-469,AI_mean_5,3
0-24,AI_mean_5,3
3-35,AI_mean_5,3
4-288,AI_mean_5,4
3-191,AI_mean_5,3
2-125,AI_mean_5,2
4-456,AI_mean_5,4
1-50,AI_mean_5,1
4-478,AI_mean_5,4
3-217,AI_mean_5,0
2-215,AI_mean_5,2
1-184,AI_mean_5,1
1-202,AI_mean_5,1
0-91,AI_mean_5,3
0-249,AI_mean_5,3
1-66,AI_mean_5,1
3-115,AI_mean_5,3
0-236,AI_mean_5,3
1-4,AI_mean_5,1
2-255,AI_mean_5,1
2-124,AI_mean_5,2
2-210,AI_mean_5,2
0-320,AI_mean_5,2
3-163,AI_mean_5,3
1-376,AI_mean_5,1
4-132,AI_mean_5,4
0-228,AI_mean_5,3
1-410,AI_mean_5,1
3-113,AI_mean_5,3
0-29,AI_mean_5,2
2-347,AI_mean_5,3
2-331,AI_mean_5,2
3-296,AI_mean_5,3
2-265,AI_mean_5,4
2-56,AI_mean_5,0
4-61,AI_mean_5,0
3-139,AI_mean_5,3
2-486,AI_mean_5,2
3-404,AI_mean_5,3
1-223,AI_mean_5,1
2-493,AI_mean_5,0
0-430,AI_mean_5,3
0-486,AI_mean_5,2
3-359,AI_mean_5,3
4-222,AI_mean_5,4
2-239,AI_mean_5,2
0-402,AI_mean_5,3
1-426,AI_mean_5,0
2-363,AI_mean_5,2
3-362,AI_mean_5,3
4-33,AI_mean_5,0
0-375,AI_mean_5,3
0-291,AI_mean_5,3
4-201,AI_mean_5,4
4-386,AI_mean_5,4
0-489,AI_mean_5,3
4-253,AI_mean_5,4
2-62,AI_mean_5,0
2-185,AI_mean_5,0
1-459,AI_mean_5,1
3-100,AI_mean_5,3
1-287,AI_mean_5,1
0-117,AI_mean_5,3
0-376,AI_mean_5,3
0-254,AI_mean_5,3
1-195,AI_mean_5,1
4-391,AI_mean_5,4
1-435,AI_mean_5,1
1-280,AI_mean_5,1
2-392,AI_mean_5,2
0-436,AI_mean_5,3
0-173,AI_mean_5,3
0-337,AI_mean_5,3
0-266,AI_mean_5,3
4-42,AI_mean_5,4
3-165,AI_mean_5,3
0-384,AI_mean_5,3
1-456,AI_mean_5,2
0-414,AI_mean_5,4
2-37,AI_mean_5,4
0-449,AI_mean_5,3
0-426,AI_mean_5,3
1-71,AI_mean_5,1
2-132,AI_mean_5,2
3-440,AI_mean_5,3
0-434,AI_mean_5,3
4-186,AI_mean_5,4
4-60,AI_mean_5,4
4-349,AI_mean_5,4
4-21,AI_mean_5,4
0-269,AI_mean_5,3
2-135,AI_mean_5,2
4-134,AI_mean_5,4
4-110,AI_mean_5,4
2-105,AI_mean_5,2
4-102,AI_mean_5,4
2-235,AI_mean_5,3
2-78,AI_mean_5,3
2-312,AI_mean_5,0
0-215,AI_mean_5,3
4-287,AI_mean_5,1
2-460,AI_mean_5,2
0-23,AI_mean_5,1
4-334,AI_mean_5,4
4-149,AI_mean_5,4
2-165,AI_mean_5,2
0-16,AI_mean_5,3
0-345,AI_mean_5,3
2-305,AI_mean_5,2
3-41,AI_mean_5,3
0-192,AI_mean_5,3
2-362,AI_mean_5,2
4-408,AI_mean_5,4
1-42,AI_mean_5,1
3-366,AI_mean_5,4
2-12,AI_mean_5,0
1-225,AI_mean_5,1
3-168,AI_mean_5,3
4-345,AI_mean_5,4
0-68,AI_mean_5,3
3-13,AI_mean_5,3
4-94,AI_mean_5,4
3-373,AI_mean_5,3
2-369,AI_mean_5,2
0-321,AI_mean_5,3
0-397,AI_mean_5,3
1-118,AI_mean_5,1
0-327,AI_mean_5,3
4-255,AI_mean_5,4
2-85,AI_mean_5,2
2-13,AI_mean_5,2
2-325,AI_mean_5,2
1-486,AI_mean_5,1
2-237,AI_mean_5,2
2-171,AI_mean_5,2
3-478,AI_mean_5,3
2-298,AI_mean_5,2
2-292,AI_mean_5,2
3-218,AI_mean_5,3
4-364,AI_mean_5,4
1-276,AI_mean_5,1
3-479,AI_mean_5,3
3-33,AI_mean_5,3
1-365,AI_mean_5,1
4-354,AI_mean_5,4
2-273,AI_mean_5,2
0-423,AI_mean_5,3
3-257,AI_mean_5,4
1-32,AI_mean_5,1
4-495,AI_mean_5,4
3-262,AI_mean_5,3
4-244,AI_mean_5,4
2-467,AI_mean_5,2
1-137,AI_mean_5,1
2-270,AI_mean_5,2
4-390,AI_mean_5,4
1-231,AI_mean_5,1
2-349,AI_mean_5,2
1-204,AI_mean_5,1
2-280,AI_mean_5,2
3-244,AI_mean_5,3
0-469,AI_mean_5,3
1-128,AI_mean_5,1
3-255,AI_mean_5,3
2-277,AI_mean_5,2
0-217,AI_mean_5,3
0-377,AI_mean_5,3
2-159,AI_mean_5,2
2-281,AI_mean_5,2
2-366,AI_mean_5,2
4-477,AI_mean_5,4
1-476,AI_mean_5,0
2-174,AI_mean_5,2
1-6,AI_mean_5,1
1-83,AI_mean_5,1
4-433,AI_mean_5,4
1-443,AI_mean_5,1
2-67,AI_mean_5,2
1-467,AI_mean_5,1
0-311,AI_mean_5,0
3-406,AI_mean_5,3
3-447,AI_mean_5,3
0-140,AI_mean_5,3
4-12,AI_mean_5,4
0-288,AI_mean_5,3
1-268,AI_mean_5,1
3-320,AI_mean_5,3
1-176,AI_mean_5,1
0-75,AI_mean_5,3
1-318,AI_mean_5,3
0-17,AI_mean_5,3
3-288,AI_mean_5,3
3-216,AI_mean_5,3
2-463,AI_mean_5,2
3-81,AI_mean_5,2
2-410,AI_mean_5,2
0-361,AI_mean_5,3
3-416,AI_mean_5,3
1-395,AI_mean_5,1
2-382,AI_mean_5,2
1-425,AI_mean_5,1
4-121,AI_mean_5,4
3-215,AI_mean_5,1
1-453,AI_mean_5,1
4-162,AI_mean_5,4
0-417,AI_mean_5,3
0-128,AI_mean_5,3
1-22,AI_mean_5,1
2-481,AI_mean_5,2
2-377,AI_mean_5,2
1-265,AI_mean_5,1
0-274,AI_mean_5,3
2-352,AI_mean_5,4
3-136,AI_mean_5,3
1-114,AI_mean_5,1
2-82,AI_mean_5,2
4-310,AI_mean_5,0
0-32,AI_mean_5,3
0-127,AI_mean_5,3
1-370,AI_mean_5,1
3-55,AI_mean_5,3
0-11,AI_mean_5,3
2-11,AI_mean_5,2
0-96,AI_mean_5,3
2-134,AI_mean_5,2
4-144,AI_mean_5,0
0-304,AI_mean_5,3
0-411,AI_mean_5,3
2-15,AI_mean_5,2
1-474,AI_mean_5,1
4-246,AI_mean_5,4
3-22,AI_mean_5,3
2-266,AI_mean_5,2
3-161,AI_mean_5,3
3-59,AI_mean_5,3
4-361,AI_mean_5,4
2-141,AI_mean_5,2
0-367,AI_mean_5,3
3-297,AI_mean_5,3
3-256,AI_mean_5,3
0-386,AI_mean_5,3
2-91,AI_mean_5,2
4-362,AI_mean_5,3
3-384,AI_mean_5,3
3-210,AI_mean_5,4
0-152,AI_mean_5,3
1-447,AI_mean_5,1
4-267,AI_mean_5,0
3-154,AI_mean_5,3
2-50,AI_mean_5,2
3-323,AI_mean_5,0
2-2,AI_mean_5,2
3-382,AI_mean_5,3
3-124,AI_mean_5,3
3-227,AI_mean_5,3
0-174,AI_mean_5,3
0-57,AI_mean_5,3
4-271,AI_mean_5,4
1-133,AI_mean_5,1
3-40,AI_mean_5,3
4-286,AI_mean_5,4
1-466,AI_mean_5,1
2-8,AI_mean_5,2
3-119,AI_mean_5,3
2-241,AI_mean_5,2
4-106,AI_mean_5,4
3-102,AI_mean_5,1
2-422,AI_mean_5,2
1-180,AI_mean_5,1
2-412,AI_mean_5,2
2-119,AI_mean_5,2
3-30,AI_mean_5,3
1-316,AI_mean_5,1
3-239,AI_mean_5,3
4-18,AI_mean_5,0
2-308,AI_mean_5,4
1-291,AI_mean_5,1
2-142,AI_mean_5,1
0-330,AI_mean_5,3
3-73,AI_mean_5,3
4-306,AI_mean_5,4
0-135,AI_mean_5,3
2-322,AI_mean_5,2
3-457,AI_mean_5,3
2-376,AI_mean_5,4
4-219,AI_mean_5,4
1-145,AI_mean_5,1
2-108,AI_mean_5,2
3-399,AI_mean_5,3
3-145,AI_mean_5,3
0-243,AI_mean_5,3
2-317,AI_mean_5,2
2-24,AI_mean_5,1
1-438,AI_mean_5,3
1-51,AI_mean_5,1
4-407,AI_mean_5,4
2-173,AI_mean_5,2
0-271,AI_mean_5,3
4-301,AI_mean_5,4
4-322,AI_mean_5,4
3-413,AI_mean_5,3
0-139,AI_mean_5,4
1-236,AI_mean_5,1
4-402,AI_mean_5,4
0-371,AI_mean_5,3
1-25,AI_mean_5,1
2-429,AI_mean_5,2
3-494,AI_mean_5,3
4-203,AI_mean_5,4
3-225,AI_mean_5,3
3-84,AI_mean_5,3
1-496,AI_mean_5,1
2-6,AI_mean_5,2
0-186,AI_mean_5,3
3-0,AI_mean_5,3
2-162,AI_mean_5,2
4-58,AI_mean_5,4
4-16,AI_mean_5,3
4-100,AI_mean_5,4
4-440,AI_mean_5,4
3-311,AI_mean_5,1
4-63,AI_mean_5,4
2-260,AI_mean_5,2
4-155,AI_mean_5,1
2-495,AI_mean_5,1
2-71,AI_mean_5,1
3-368,AI_mean_5,3
2-476,AI_mean_5,2
0-461,AI_mean_5,3
1-414,AI_mean_5,0
4-293,AI_mean_5,4
2-164,AI_mean_5,2
2-199,AI_mean_5,2
4-315,AI_mean_5,4
4-307,AI_mean_5,4
3-85,AI_mean_5,3
4-324,AI_mean_5,4
1-233,AI_mean_5,4
1-5,AI_mean_5,1
1-260,AI_mean_5,1
0-46,AI_mean_5,3
3-247,AI_mean_5,3
1-55,AI_mean_5,1
3-316,AI_mean_5,3
3-360,AI_mean_5,3
0-74,AI_mean_5,3
4-303,AI_mean_5,4
2-123,AI_mean_5,2
1-432,AI_mean_5,4
4-86,AI_mean_5,4
2-196,AI_mean_5,2
1-315,AI_mean_5,1
0-400,AI_mean_5,0
2-242,AI_mean_5,2
0-62,AI_mean_5,3
1-24,AI_mean_5,1
0-352,AI_mean_5,3
2-343,AI_mean_5,2
4-49,AI_mean_5,1
3-318,AI_mean_5,3
4-52,AI_mean_5,4
2-399,AI_mean_5,2
3-74,AI_mean_5,3
4-476,AI_mean_5,4
4-317,AI_mean_5,4
3-97,AI_mean_5,3
1-361,AI_mean_5,3
4-285,AI_mean_5,0
4-122,AI_mean_5,0
1-294,AI_mean_5,4
4-171,AI_mean_5,4
0-99,AI_mean_5,3
1-234,AI_mean_5,0
1-23,AI_mean_5,1
3-71,AI_mean_5,3
2-487,AI_mean_5,2
0-229,AI_mean_5,3
3-219,AI_mean_5,3
3-321,AI_mean_5,3
1-17,AI_mean_5,1
4-272,AI_mean_5,4
2-269,AI_mean_5,2
1-186,AI_mean_5,4
2-117,AI_mean_5,2
0-258,AI_mean_5,0
1-434,AI_mean_5,1
1-344,AI_mean_5,1
3-172,AI_mean_5,1
2-339,AI_mean_5,2
4-252,AI_mean_5,4
2-86,AI_mean_5,2
1-461,AI_mean_5,1
3-361,AI_mean_5,3
4-409,AI_mean_5,3
4-193,AI_mean_5,4
2-70,AI_mean_5,2
1-161,AI_mean_5,1
3-24,AI_mean_5,3
2-74,AI_mean_5,2
0-145,AI_mean_5,3
1-126,AI_mean_5,1
0-346,AI_mean_5,4
4-54,AI_mean_5,4
1-245,AI_mean_5,1
3-466,AI_mean_5,3
0-347,AI_mean_5,3
3-6,AI_mean_5,3
1-299,AI_mean_5,1
3-277,AI_mean_5,3
0-314,AI_mean_5,3
1-339,AI_mean_5,1
3-37,AI_mean_5,3
2-110,AI_mean_5,2
1-64,AI_mean_5,1
3-39,AI_mean_5,3
2-131,AI_mean_5,2
1-433,AI_mean_5,1
2-126,AI_mean_5,2
0-395,AI_mean_5,3
4-189,AI_mean_5,4
1-206,AI_mean_5,1
3-408,AI_mean_5,4
4-423,AI_mean_5,4
4-465,AI_mean_5,4
3-487,AI_mean_5,3
3-261,AI_mean_5,3
1-135,AI_mean_5,1
2-314,AI_mean_5,2
3-264,AI_mean_5,3
2-419,AI_mean_5,2
1-321,AI_mean_5,0
4-213,AI_mean_5,4
4-220,AI_mean_5,4
4-389,AI_mean_5,4
0-366,AI_mean_5,3
2-259,AI_mean_5,2
3-21,AI_mean_5,3
2-72,AI_mean_5,2
4-87,AI_mean_5,4
3-317,AI_mean_5,2
0-268,AI_mean_5,3
0-13,AI_mean_5,3
3-111,AI_mean_5,3
1-351,AI_mean_5,1
3-51,AI_mean_5,3
4-385,AI_mean_5,4
4-217,AI_mean_5,4
2-150,AI_mean_5,2
1-168,AI_mean_5,1
1-152,AI_mean_5,1
0-442,AI_mean_5,3
1-288,AI_mean_5,1
0-493,AI_mean_5,3
0-307,AI_mean_5,3
2-408,AI_mean_5,2
1-132,AI_mean_5,1
3-206,AI_mean_5,3
0-286,AI_mean_5,3
0-302,AI_mean_5,3
0-94,AI_mean_5,0
0-444,AI_mean_5,2
4-152,AI_mean_5,4
0-216,AI_mean_5,3
4-318,AI_mean_5,4
3-436,AI_mean_5,3
4-190,AI_mean_5,4
2-172,AI_mean_5,2
0-226,AI_mean_5,3
1-457,AI_mean_5,1
0-272,AI_mean_5,3
1-187,AI_mean_5,1
1-350,AI_mean_5,0
2-456,AI_mean_5,2
2-490,AI_mean_5,0
0-299,AI_mean_5,1
4-404,AI_mean_5,4
1-26,AI_mean_5,1
1-70,AI_mean_5,1
2-300,AI_mean_5,2
1-372,AI_mean_5,1
3-192,AI_mean_5,3
4-333,AI_mean_5,2
1-38,AI_mean_5,1
1-423,AI_mean_5,1
0-190,AI_mean_5,4
4-490,AI_mean_5,4
0-36,AI_mean_5,3
0-179,AI_mean_5,3
0-382,AI_mean_5,3
3-234,AI_mean_5,3
0-153,AI_mean_5,3
3-498,AI_mean_5,3
4-241,AI_mean_5,4
0-219,AI_mean_5,3
1-112,AI_mean_5,1
2-161,AI_mean_5,2
2-379,AI_mean_5,2
1-150,AI_mean_5,1
1-386,AI_mean_5,3
1-465,AI_mean_5,1
3-11,AI_mean_5,3
3-177,AI_mean_5,3
1-328,AI_mean_5,1
2-60,AI_mean_5,2
0-105,AI_mean_5,3
0-81,AI_mean_5,3
4-174,AI_mean_5,4
0-225,AI_mean_5,2
1-54,AI_mean_5,3
3-180,AI_mean_5,3
0-440,AI_mean_5,3
3-127,AI_mean_5,3
2-275,AI_mean_5,2
4-172,AI_mean_5,4
2-7,AI_mean_5,2
2-418,AI_mean_5,2
4-480,AI_mean_5,4
1-79,AI_mean_5,1
2-455,AI_mean_5,2
2-160,AI_mean_5,2
0-239,AI_mean_5,3
0-441,AI_mean_5,3
4-498,AI_mean_5,4
3-358,AI_mean_5,3
0-38,AI_mean_5,3
3-5,AI_mean_5,1
2-176,AI_mean_5,2
0-445,AI_mean_5,3
2-469,AI_mean_5,2
1-246,AI_mean_5,1
2-320,AI_mean_5,2
4-68,AI_mean_5,4
4-406,AI_mean_5,3
2-372,AI_mean_5,1
2-51,AI_mean_5,2
1-489,AI_mean_5,0
2-28,AI_mean_5,2
0-104,AI_mean_5,3
4-485,AI_mean_5,2
0-103,AI_mean_5,3
2-113,AI_mean_5,2
0-344,AI_mean_5,2
2-179,AI_mean_5,1
2-478,AI_mean_5,0
4-202,AI_mean_5,4
2-491,AI_mean_5,1
0-7,AI_mean_5,3
2-251,AI_mean_5,2
1-266,AI_mean_5,1
3-266,AI_mean_5,3
4-436,AI_mean_5,4
2-99,AI_mean_5,0
1-359,AI_mean_5,1
3-340,AI_mean_5,3
4-382,AI_mean_5,4
1-143,AI_mean_5,1
1-215,AI_mean_5,1
2-246,AI_mean_5,2
2-288,AI_mean_5,2
3-187,AI_mean_5,0
2-243,AI_mean_5,2
4-489,AI_mean_5,4
0-142,AI_mean_5,3
3-438,AI_mean_5,3
4-276,AI_mean_5,4
2-104,AI_mean_5,2
2-139,AI_mean_5,2
4-64,AI_mean_5,4
3-132,AI_mean_5,3
4-50,AI_mean_5,4
3-224,AI_mean_5,2
4-312,AI_mean_5,4
1-117,AI_mean_5,1
0-158,AI_mean_5,3
3-179,AI_mean_5,3
4-14,AI_mean_5,4
2-299,AI_mean_5,2
1-431,AI_mean_5,1
3-157,AI_mean_5,3
4-374,AI_mean_5,2
0-391,AI_mean_5,3
2-200,AI_mean_5,2
4-394,AI_mean_5,4
2-212,AI_mean_5,2
1-403,AI_mean_5,3
3-388,AI_mean_5,3
0-329,AI_mean_5,3
4-473,AI_mean_5,4
4-160,AI_mean_5,4
1-250,AI_mean_5,1
4-35,AI_mean_5,4
1-181,AI_mean_5,1
0-425,AI_mean_5,3
0-374,AI_mean_5,3
3-152,AI_mean_5,3
1-278,AI_mean_5,1
0-151,AI_mean_5,3
4-400,AI_mean_5,4
1-214,AI_mean_5,1
0-30,AI_mean_5,3
4-195,AI_mean_5,4
0-15,AI_mean_5,3
2-321,AI_mean_5,1
1-100,AI_mean_5,1
0-21,AI_mean_5,3
3-314,AI_mean_5,3
0-58,AI_mean_5,3
2-302,AI_mean_5,2
2-388,AI_mean_5,2
4-198,AI_mean_5,4
1-178,AI_mean_5,0
1-108,AI_mean_5,1
1-363,AI_mean_5,1
1-296,AI_mean_5,1
0-119,AI_mean_5,3
0-422,AI_mean_5,3
1-415,AI_mean_5,1
2-303,AI_mean_5,2
0-332,AI_mean_5,3
1-9,AI_mean_5,1
1-484,AI_mean_5,3
2-350,AI_mean_5,0
1-120,AI_mean_5,1
1-113,AI_mean_5,1
4-446,AI_mean_5,4
1-400,AI_mean_5,1
0-154,AI_mean_5,3
2-434,AI_mean_5,2
2-205,AI_mean_5,2
4-120,AI_mean_5,4
0-43,AI_mean_5,3
4-471,AI_mean_5,4
2-304,AI_mean_5,4
4-148,AI_mean_5,4
3-174,AI_mean_5,3
1-142,AI_mean_5,1
1-239,AI_mean_5,1
2-68,AI_mean_5,2
0-310,AI_mean_5,3
1-253,AI_mean_5,1
3-89,AI_mean_5,3
1-193,AI_mean_5,1
4-351,AI_mean_5,4
4-438,AI_mean_5,4
2-468,AI_mean_5,2
3-456,AI_mean_5,3
0-129,AI_mean_5,3
3-429,AI_mean_5,3
1-1,AI_mean_5,1
2-258,AI_mean_5,2
3-42,AI_mean_5,3
3-47,AI_mean_5,3
3-230,AI_mean_5,3
3-138,AI_mean_5,3
2-297,AI_mean_5,2
4-413,AI_mean_5,4
0-197,AI_mean_5,3
4-177,AI_mean_5,4
4-449,AI_mean_5,2
1-220,AI_mean_5,1
0-50,AI_mean_5,3
3-305,AI_mean_5,3
2-428,AI_mean_5,2
4-482,AI_mean_5,4
0-100,AI_mean_5,3
0-294,AI_mean_5,3
2-80,AI_mean_5,2
2-194,AI_mean_5,2
0-143,AI_mean_5,3
0-165,AI_mean_5,3
2-451,AI_mean_5,2
0-356,AI_mean_5,0
2-337,AI_mean_5,2
1-8,AI_mean_5,1
2-147,AI_mean_5,2
0-421,AI_mean_5,3
1-47,AI_mean_5,1
0-275,AI_mean_5,3
0-191,AI_mean_5,3
3-193,AI_mean_5,3
3-148,AI_mean_5,3
1-371,AI_mean_5,1
0-37,AI_mean_5,3
1-196,AI_mean_5,1
4-226,AI_mean_5,4
2-90,AI_mean_5,2
4-182,AI_mean_5,4
2-384,AI_mean_5,2
4-343,AI_mean_5,2
1-208,AI_mean_5,1
0-428,AI_mean_5,3
1-478,AI_mean_5,1
1-275,AI_mean_5,1
1-109,AI_mean_5,1
4-131,AI_mean_5,4
0-319,AI_mean_5,0
1-237,AI_mean_5,1
3-336,AI_mean_5,3
1-306,AI_mean_5,1
2-253,AI_mean_5,1
3-38,AI_mean_5,3
3-240,AI_mean_5,3
3-175,AI_mean_5,1
1-283,AI_mean_5,1
1-238,AI_mean_5,1
1-67,AI_mean_5,1
3-60,AI_mean_5,4
3-88,AI_mean_5,3
2-152,AI_mean_5,2
2-454,AI_mean_5,2
2-155,AI_mean_5,2
2-464,AI_mean_5,1
1-406,AI_mean_5,3
3-258,AI_mean_5,3
2-436,AI_mean_5,2
0-85,AI_mean_5,3
2-18,AI_mean_5,2
3-279,AI_mean_5,3
1-343,AI_mean_5,1
3-153,AI_mean_5,0
3-79,AI_mean_5,3
1-185,AI_mean_5,3
1-346,AI_mean_5,1
4-59,AI_mean_5,4
1-251,AI_mean_5,1
3-36,AI_mean_5,3
1-402,AI_mean_5,1
2-87,AI_mean_5,2
3-446,AI_mean_5,3
2-441,AI_mean_5,2
3-459,AI_mean_5,3
4-20,AI_mean_5,4
0-70,AI_mean_5,3
0-250,AI_mean_5,3
1-167,AI_mean_5,1
1-452,AI_mean_5,1
3-1,AI_mean_5,3
4-429,AI_mean_5,1
3-495,AI_mean_5,3
1-491,AI_mean_5,1
0-450,AI_mean_5,3
1-2,AI_mean_5,1
3-332,AI_mean_5,3
1-222,AI_mean_5,1
1-65,AI_mean_5,1
0-448,AI_mean_5,3
3-142,AI_mean_5,3
0-185,AI_mean_5,3
2-250,AI_mean_5,2
1-421,AI_mean_5,1
1-312,AI_mean_5,1
1-329,AI_mean_5,1
2-423,AI_mean_5,2
4-337,AI_mean_5,4
2-214,AI_mean_5,2
0-170,AI_mean_5,0
4-454,AI_mean_5,4
3-170,AI_mean_5,3
4-69,AI_mean_5,4
1-136,AI_mean_5,1
1-31,AI_mean_5,1
2-443,AI_mean_5,2
1-15,AI_mean_5,1
1-198,AI_mean_5,1
4-309,AI_mean_5,4
2-461,AI_mean_5,2
2-340,AI_mean_5,2
0-39,AI_mean_5,4
1-34,AI_mean_5,1
1-259,AI_mean_5,2
1-325,AI_mean_5,1
0-184,AI_mean_5,1
0-355,AI_mean_5,3
2-358,AI_mean_5,2
0-256,AI_mean_5,3
4-29,AI_mean_5,0
2-295,AI_mean_5,2
0-468,AI_mean_5,3
4-104,AI_mean_5,4
1-21,AI_mean_5,1
2-219,AI_mean_5,0
1-282,AI_mean_5,1
3-49,AI_mean_5,3
4-257,AI_mean_5,4
2-285,AI_mean_5,2
0-454,AI_mean_5,3
2-217,AI_mean_5,0
4-205,AI_mean_5,4
1-444,AI_mean_5,1
2-406,AI_mean_5,2
1-272,AI_mean_5,1
3-90,AI_mean_5,3
1-235,AI_mean_5,2
3-409,AI_mean_5,3
2-416,AI_mean_5,2
1-330,AI_mean_5,1
4-378,AI_mean_5,4
3-190,AI_mean_5,0
2-175,AI_mean_5,2
0-175,AI_mean_5,3
3-465,AI_mean_5,3
0-363,AI_mean_5,3
3-251,AI_mean_5,3
4-119,AI_mean_5,4
4-443,AI_mean_5,4
1-367,AI_mean_5,1
4-73,AI_mean_5,4
0-220,AI_mean_5,3
0-285,AI_mean_5,3
2-121,AI_mean_5,2
0-55,AI_mean_5,3
4-103,AI_mean_5,4
4-308,AI_mean_5,0
2-191,AI_mean_5,2
1-39,AI_mean_5,1
3-112,AI_mean_5,3
0-435,AI_mean_5,3
1-205,AI_mean_5,1
1-13,AI_mean_5,1
4-422,AI_mean_5,3
3-62,AI_mean_5,3
0-45,AI_mean_5,3
2-211,AI_mean_5,2
1-247,AI_mean_5,1
0-244,AI_mean_5,3
2-453,AI_mean_5,2
1-488,AI_mean_5,1
0-73,AI_mean_5,3
3-435,AI_mean_5,3
1-219,AI_mean_5,1
1-419,AI_mean_5,1
2-471,AI_mean_5,2
1-76,AI_mean_5,1
2-480,AI_mean_5,2
1-49,AI_mean_5,1
2-333,AI_mean_5,2
2-309,AI_mean_5,2
1-485,AI_mean_5,1
0-387,AI_mean_5,3
0-405,AI_mean_5,3
0-459,AI_mean_5,3
2-59,AI_mean_5,2
3-158,AI_mean_5,3
2-319,AI_mean_5,2
2-383,AI_mean_5,2
1-436,AI_mean_5,1
4-27,AI_mean_5,4
1-57,AI_mean_5,1
4-167,AI_mean_5,4
0-447,AI_mean_5,3
2-202,AI_mean_5,2
2-499,AI_mean_5,2
1-468,AI_mean_5,1
2-140,AI_mean_5,1
4-377,AI_mean_5,4
3-18,AI_mean_5,3
4-224,AI_mean_5,4
1-248,AI_mean_5,2
3-450,AI_mean_5,3
4-79,AI_mean_5,4
3-488,AI_mean_5,3
2-63,AI_mean_5,2
2-184,AI_mean_5,2
1-229,AI_mean_5,1
4-417,AI_mean_5,4
4-316,AI_mean_5,4
3-294,AI_mean_5,3
0-463,AI_mean_5,3
1-157,AI_mean_5,1
0-305,AI_mean_5,3
0-279,AI_mean_5,3
3-426,AI_mean_5,3
1-46,AI_mean_5,1
3-394,AI_mean_5,3
4-13,AI_mean_5,4
0-199,AI_mean_5,3
1-189,AI_mean_5,1
3-63,AI_mean_5,3
0-276,AI_mean_5,3
1-98,AI_mean_5,3
1-320,AI_mean_5,0
3-98,AI_mean_5,3
1-182,AI_mean_5,1
1-404,AI_mean_5,1
3-68,AI_mean_5,1
3-473,AI_mean_5,3
2-130,AI_mean_5,2
1-58,AI_mean_5,1
4-136,AI_mean_5,4
2-156,AI_mean_5,4
2-473,AI_mean_5,2
2-153,AI_mean_5,2
2-208,AI_mean_5,2
4-130,AI_mean_5,4
1-92,AI_mean_5,4
4-125,AI_mean_5,4
4-118,AI_mean_5,4
4-289,AI_mean_5,1
3-147,AI_mean_5,3
4-411,AI_mean_5,4
1-209,AI_mean_5,1
2-112,AI_mean_5,2
1-319,AI_mean_5,1
3-128,AI_mean_5,3
4-467,AI_mean_5,4
4-275,AI_mean_5,0
3-134,AI_mean_5,3
2-332,AI_mean_5,2
3-17,AI_mean_5,3
4-135,AI_mean_5,4
3-250,AI_mean_5,3
0-263,AI_mean_5,3
2-88,AI_mean_5,2
0-60,AI_mean_5,3
3-437,AI_mean_5,1
2-233,AI_mean_5,2
3-107,AI_mean_5,3
0-379,AI_mean_5,3
4-175,AI_mean_5,4
4-254,AI_mean_5,4
0-59,AI_mean_5,3
2-477,AI_mean_5,2
3-120,AI_mean_5,3
3-129,AI_mean_5,3
4-231,AI_mean_5,4
1-139,AI_mean_5,1
1-11,AI_mean_5,1
1-440,AI_mean_5,4
3-378,AI_mean_5,3
4-392,AI_mean_5,0
1-408,AI_mean_5,1
3-149,AI_mean_5,3
3-427,AI_mean_5,3
0-482,AI_mean_5,3
4-464,AI_mean_5,4
4-416,AI_mean_5,4
4-492,AI_mean_5,1
0-362,AI_mean_5,4
1-27,AI_mean_5,1
2-73,AI_mean_5,2
2-216,AI_mean_5,3
3-48,AI_mean_5,3
1-226,AI_mean_5,1
0-437,AI_mean_5,3
1-162,AI_mean_5,1
4-432,AI_mean_5,4
3-167,AI_mean_5,3
3-365,AI_mean_5,3
0-188,AI_mean_5,3
4-95,AI_mean_5,4
2-34,AI_mean_5,2
3-379,AI_mean_5,3
0-253,AI_mean_5,3
3-303,AI_mean_5,0
3-400,AI_mean_5,3
4-352,AI_mean_5,4
1-115,AI_mean_5,2
1-41,AI_mean_5,1
4-17,AI_mean_5,4
4-412,AI_mean_5,4
0-19,AI_mean_5,3
3-52,AI_mean_5,3
3-496,AI_mean_5,3
4-344,AI_mean_5,4
1-327,AI_mean_5,1
1-401,AI_mean_5,1
4-248,AI_mean_5,1
1-40,AI_mean_5,1
3-220,AI_mean_5,3
3-133,AI_mean_5,3
4-305,AI_mean_5,4
0-267,AI_mean_5,3
3-254,AI_mean_5,3
3-483,AI_mean_5,3
0-211,AI_mean_5,3
4-133,AI_mean_5,4
2-75,AI_mean_5,2
2-400,AI_mean_5,2
0-187,AI_mean_5,3
3-417,AI_mean_5,3
0-28,AI_mean_5,3
3-401,AI_mean_5,3
3-235,AI_mean_5,3
3-57,AI_mean_5,0
0-212,AI_mean_5,3
3-263,AI_mean_5,3
0-265,AI_mean_5,3
2-385,AI_mean_5,4
0-247,AI_mean_5,3
2-100,AI_mean_5,2
0-208,AI_mean_5,3
3-87,AI_mean_5,3
